"word","emotion","score"
"abacus","trust",1
"abandon","fear",1
"abandon","negative",1
"abandon","sadness",1
"abandoned","anger",1
"abandoned","fear",1
"abandoned","negative",1
"abandoned","sadness",1
"abandonment","anger",1
"abandonment","fear",1
"abandonment","negative",1
"abandonment","sadness",1
"abandonment","surprise",1
"abba","positive",1
"abbot","trust",1
"abduction","fear",1
"abduction","negative",1
"abduction","sadness",1
"abduction","surprise",1
"aberrant","negative",1
"aberration","disgust",1
"aberration","negative",1
"abhor","anger",1
"abhor","disgust",1
"abhor","fear",1
"abhor","negative",1
"abhorrent","anger",1
"abhorrent","disgust",1
"abhorrent","fear",1
"abhorrent","negative",1
"ability","positive",1
"abject","disgust",1
"abject","negative",1
"abnormal","disgust",1
"abnormal","negative",1
"abolish","anger",1
"abolish","negative",1
"abolition","negative",1
"abominable","disgust",1
"abominable","fear",1
"abominable","negative",1
"abomination","anger",1
"abomination","disgust",1
"abomination","fear",1
"abomination","negative",1
"abort","negative",1
"abortion","disgust",1
"abortion","fear",1
"abortion","negative",1
"abortion","sadness",1
"abortive","negative",1
"abortive","sadness",1
"abovementioned","positive",1
"abrasion","negative",1
"abrogate","negative",1
"abrupt","surprise",1
"abscess","negative",1
"abscess","sadness",1
"absence","fear",1
"absence","negative",1
"absence","sadness",1
"absent","negative",1
"absent","sadness",1
"absentee","negative",1
"absentee","sadness",1
"absenteeism","negative",1
"absolute","positive",1
"absolution","joy",1
"absolution","positive",1
"absolution","trust",1
"absorbed","positive",1
"absurd","negative",1
"absurdity","negative",1
"abundance","anticipation",1
"abundance","disgust",1
"abundance","joy",1
"abundance","negative",1
"abundance","positive",1
"abundance","trust",1
"abundant","joy",1
"abundant","positive",1
"abuse","anger",1
"abuse","disgust",1
"abuse","fear",1
"abuse","negative",1
"abuse","sadness",1
"abysmal","negative",1
"abysmal","sadness",1
"abyss","fear",1
"abyss","negative",1
"abyss","sadness",1
"academic","positive",1
"academic","trust",1
"academy","positive",1
"accelerate","anticipation",1
"acceptable","positive",1
"acceptance","positive",1
"accessible","positive",1
"accident","fear",1
"accident","negative",1
"accident","sadness",1
"accident","surprise",1
"accidental","fear",1
"accidental","negative",1
"accidental","surprise",1
"accidentally","surprise",1
"accolade","anticipation",1
"accolade","joy",1
"accolade","positive",1
"accolade","surprise",1
"accolade","trust",1
"accommodation","positive",1
"accompaniment","anticipation",1
"accompaniment","joy",1
"accompaniment","positive",1
"accompaniment","trust",1
"accomplish","joy",1
"accomplish","positive",1
"accomplished","joy",1
"accomplished","positive",1
"accomplishment","positive",1
"accord","positive",1
"accord","trust",1
"account","trust",1
"accountability","positive",1
"accountability","trust",1
"accountable","positive",1
"accountable","trust",1
"accountant","trust",1
"accounts","trust",1
