X.AUTHID,resents
b'http://blog.searsholdings.com/leadership-viewpoint/pride-at-shc/',"['Over a million people cheered on our Shop Your Way Pride Wedding Contest winners as the parade traveled through the city neighborhoods.', 'It was a moving day for all involved as this was the first parade since the Illinois Marriage Equality Law was enacted.']"
b'https://atyourservice.blogs.xerox.com/category/support-tools/page/6/',[]
b'http://blogs.zebra.com/whitepaper-label',[]
b'https://connect.blogs.xerox.com/author/laurie-riedman/page/2/',[]
b'http://blog.searsholdings.com/2016/07/page/2/',[]
b'http://blog.searsholdings.com/leena-munjal/from-a-loyal-member-what-sears-means-to-me/',[]
b'https://atyourservice.blogs.xerox.com/category/uncategorized/',"['As Dorothy from the Wizard of Oz said, , I a feeling we not in Kansas anymore.']"
b'https://channelpartner.blogs.xerox.com/author/julian-patel/page/5/',"['By When the relationship between vendor and channel partner is broken, it can lead to disappointment and dissatisfaction on both sides and, more importantly, both have missed out on an opportunity.']"
b'https://digitalprinting.blogs.xerox.com/author/gtesta/',[]
b'https://atyourservice.blogs.xerox.com/page/2/',"['As Dorothy from the Wizard of Oz said, , I a feeling we not in Kansas anymore.']"
b'https://atyourservice.blogs.xerox.com/author/cherylo23/page/2/',"['As Dorothy from the Wizard of Oz said, , I a feeling we not in Kansas anymore.']"
b'https://atyourservice.blogs.xerox.com/category/printing/page/5/',[]
b'https://blog.fitbit.com/sitting-hurts-fitbit-data-suggests-you-should-move-more-often/',['; ; ; Please note: Comments are moderated and may not appear immediately after submission.']
b'https://atyourservice.blogs.xerox.com/category/features/page/6/',[]
b'https://atyourservice.blogs.xerox.com/category/support-tools/page/4/',[]
b'https://atyourservice.blogs.xerox.com/category/general-information/page/5/',"['This Sunday March 12, 2017 is the day we lose an hour of sleep to There are some new printers in town.']"
b'https://atyourservice.blogs.xerox.com/page/9/',"['The Xerox Versant 180, Versant 180 Performance Package and Versant 3100 Presses are printers with output and Color, it can attract, influence, and even increase retention.']"
b'https://atyourservice.blogs.xerox.com/category/support-tools/page/7/',[]
b'https://connect.blogs.xerox.com/author/laurie-riedman/',"['By Data analytics e at Xerox were recognized for innovation that helps cities manage parking better, and ease drivers frustration.']"
b'https://enterprisematters.blogs.xerox.com/author/guestcontributor/page/4/',[]
b'https://www.citrix.com/blogs/2017/05/17/citrix-cloud-at-synergy-dont-take-my-word-for-it/',[]
b'https://atyourservice.blogs.xerox.com/author/gigi-zakhary/',[]
b'https://smallbusinesssolutions.blogs.xerox.com/author/icbgguestblogger/page/2/',[]
b'https://enterprisematters.blogs.xerox.com/category/mobile-workforce/page/5/',[]
b'http://global-sei.com/company/press/2016/08/prs064.html',[]
b'https://enterprisematters.blogs.xerox.com/category/document-workflow/page/3/',[]
b'https://smallbusinesssolutions.blogs.xerox.com/category/information-security/page/5/',[]
b'https://smallbusinesssolutions.blogs.xerox.com/category/uncategorized/page/3/',"['A clear vision of what growth looks like for your business, and why it valuable, will make the difference between success and failure, growth and recession.']"
b'http://blogs.zebra.com/save-the-date-zebra-hosts-talkiot-twitter-chat-on-10/15',[]
b'https://atyourservice.blogs.xerox.com/category/technology/',[]
b'https://blog.fitbit.com/heres-why-harrison-barnes-always-gets-in-his-steps-before-sitting-down-to-play/',['; ; ; Please note: Comments are moderated and may not appear immediately after submission.']
b'https://connect.blogs.xerox.com/category/general/page/7/',[]
b'https://smallbusinesssolutions.blogs.xerox.com/category/document-management/page/3/',"['While choosing the right toner can have a clear impact on your bottom line, smart small and mid-size businesses are also taking steps to ma toner longevity.', 'If you are an entrepreneur today, and not using social media to promote your business, you are missing out on a huge opportunity.']"
b'https://smallbusinesssolutions.blogs.xerox.com/category/sustainability/page/4/',[]
b'http://blog.searsholdings.com/author/shc-staff/page/4/',[]
b'https://blog.fitbit.com/category/fitbit-news/product-announcements/page/5/',[]
b'https://connect.blogs.xerox.com/2014/07/14/summer-travel-keep-your-data-and-devices-secure/',"['Going on vacation is all about having fun, but poor planning can ruin your trip before you get to your destination.']"
b'https://enterprisematters.blogs.xerox.com/category/ecm/',[]
b'https://enterprisematters.blogs.xerox.com/category/security/page/7/',"['Now the question becomes, Consumerization of IT is here in full force, and it not going away.']"
b'https://smallbusinesssolutions.blogs.xerox.com/author/icbgguestblogger/page/5/',[]
b'https://smallbusinesssolutions.blogs.xerox.com/author/jdunn/',[]
b'https://enterprisematters.blogs.xerox.com/category/security/page/6/',[]
b'https://enterprisematters.blogs.xerox.com/category/workflow/page/3/',[]
b'https://enterprisematters.blogs.xerox.com/category/workflow/page/2/',[]
b'https://blog.fitbit.com/restrictive-eating/',['; ; ; Please note: Comments are moderated and may not appear immediately after submission.']
b'https://connect.blogs.xerox.com/category/workplace-solutions/page/3/',[]
b'https://enterprisematters.blogs.xerox.com/category/paperless-workflow/page/2/',[]
b'https://smallbusinesssolutions.blogs.xerox.com/category/color-printing/page/7/',[]
b'https://digitalprinting.blogs.xerox.com/author/framsey/',[]
b'https://connect.blogs.xerox.com/2015/02/18/tips-to-go-green-sustainability-myths-expelled/',"['More business could do with following suit- Particularly love the suggestions you made for other small businesses the switch, use public #transit, unplug devices-so simple yet so effective Thanks for your comment Paul.']"
b'https://enterprisematters.blogs.xerox.com/category/accessibility/',[]
b'https://smallbusinesssolutions.blogs.xerox.com/author/johncorley/',[]
b'https://smallbusinesssolutions.blogs.xerox.com/category/smb-growth/page/7/',[]
b'https://blog.fitbit.com/category/be-inspired/page/7/',"[';Finally: A weight loss plan that wont take over your life.', ';After decades of gaining and losing weight, Patricia K. found her inner strength.', ';After discovering his competitive spirit, this man lost 50 pounds in less than a year.']"
b'https://blog.fitbit.com/category/get-moving/running/page/7/',[]
b'https://connect.blogs.xerox.com/author/suzette-norris/',[]
b'https://smallbusinesssolutions.blogs.xerox.com/author/lweaver/page/3/',[]
b'https://smallbusinesssolutions.blogs.xerox.com/category/sales/',[]
b'https://smallbusinesssolutions.blogs.xerox.com/page/8/',[]
b'http://blog.searsholdings.com/2016/08/',[]
b'http://blog.searsholdings.com/category/inside-shc/page/2/',[]
b'http://global-sei.com/company/press/2015/03/prs018_s.html',[]
b'https://smallbusinesssolutions.blogs.xerox.com/author/lweaver/page/2/',[]
b'https://smallbusinesssolutions.blogs.xerox.com/category/small-business-tips-2/page/5/',[]
b'https://enterprisematters.blogs.xerox.com/category/document-workflow/page/7/',[]
b'https://www.citrix.com/blogs/2017/09/12/end-to-end-application-management-and-visibility-as-a-cloud-service/',"['One of the key differentiators ; Citrix VP of WW Sales and Strategy, Ash Vijayakanthan shares his thoughts on the benefits Citrix Cloud brings for Citrix Service Providers ;Dont worry, you can unsubscribe at anytime.']"
b'https://blog.fitbit.com/',"[';Is it harder to lose weight as you get older?', 'Is it impossible?', ';A hectic workday can lead to unhealthy choices, but getting enough quality sleep just might you sidestep the cheesy treats and sticky sweets later.']"
b'https://connect.blogs.xerox.com/author/sherry-m-adler/',[]
b'https://smallbusinesssolutions.blogs.xerox.com/category/general-printing-stuff/page/4/',[]
b'https://www.citrix.com/blogs/language/english/',[]
b'http://blog.searsholdings.com/tag/sears/',[]
b'https://connect.blogs.xerox.com/2017/04/19/can-a-printer-make-your-business-more-productive/',"['Like just about anyone who works in a small business, she doesn have the lu of an IT support crew.']"
b'https://smallbusinesssolutions.blogs.xerox.com/category/color-printing/page/3/',"['Just when you thought screen penetration was nearing 100% and that digital communication was the best way to reach today youth, surprising new research covered by The Digital Age has forever changed the way we live, work and play.']"
b'https://blog.fitbit.com/ride-indoor-cycling-tips/',"['Pick one and crank the volume.', '; ; ; Please note: Comments are moderated and may not appear immediately after submission.']"
b'https://smallbusinesssolutions.blogs.xerox.com/category/smb-growth/page/2/',[]
b'http://blog.searsholdings.com/',[]
b'https://blog.fitbit.com/3-tips-to-rehab-an-injury-and-come-back-stronger/',"['She is a relationship columnist for Yahoo, and author of The Love Gap (January 2018, Grand Central Life & Style), a science-backed guide for modern women navigating todays complicated dating landscape.']"
