sents,LEAD,HYBRID,INCONS,INCONS_NEG,POL,CTR
"The solution enables shoppers to opt-in and receive customized offers and personal assistance via a Bluetooth Smart-triggered loyalty app and access Wi-Fi to locate products in store, read reviews, compare prices and look up information.",1,0,0,0,0,0
"Slated for retail launch beginning June 3, 2006, Under Armour Performance Footwear is the latest development from the company that brought performance apparel to the attention of athletes around the globe.",1,0,0,0,0,0
filling up their baths with water in fear of their supply becoming contaminated.,0,0,0,0,1,0
; Management will host a corresponding conference call to discuss earnings at 10:00 a.m. (Eastern) the same day.,1,0,0,0,0,0
"In nearly eight years of service with Under Armour, as Chief Operating Officer and previously as Chief Financial Officer, Mr. Marino has played a lead role in building a foundation for sustainable growth and in guiding the company past the $1 billion revenue threshold.",1,0,0,0,0,0
"Baltimore, MD (August 7, 2008) Under Armour, Inc. (NYSE: UA) today announced that Anthony ""Tony"" Deering, former Chairman of the Board and Chief E Officer of The Rouse Company, has joined the Company\'s board of directors.",1,1,1,1,1,1
";Among other things the document envisages the development, testing and introduction of lubricant materials and other Rosneft oil products required by AVTOVAZ businesses; and the possibility of closing of long-term contracts for the supply of AVTOVAZ production facilities with high-quality lubricant materials and oil products.",1,0,0,0,0,0
; (Logo: http:/www.newscom.com/cgi-bin/prnh/20010126/RPMLOGO ); Management will host a conference call to discuss the results beginning at:00 a.m. Eastern time the same day.,1,1,1,1,1,1
"The results will be issued via newswire and will also be available on the RPM web site, http:/www.rpminc.com.",1,0,0,0,0,0
"This DSP-optimized KU115 FPGA targets data center compute acceleration and signal processing applications including data center, video and medical imaging, broadcast systems, and radar.",1,0,0,0,0,0
"The EDN China Innovation Awards is widely regarded as one of the industry\'s most coveted honors and the winners are chosen by a committee comprised of technology managers, researchers, and EDN China editors.",1,0,0,0,0,0
"While our previous credit facility did not e until May, 2013, we decided to e and e our credit facility now to take advantage of a very attractive banking market for companies like MasTec.",0,1,0,0,1,1
"; e on our 2017 Channel Chiefs list have distinguished themselves by building strong partner programs, developing and e effective business strategy and helping to advance the channel as a whole.",1,0,0,0,0,0
";Through its innovative thinking, long-term product strategy and collaborative partner programme, the winner of this years award has established itself as one of the worlds foremost companies in the auto ID industry, said Dominik Rotzinger, Managing Director of Warok GmbH, in the award citation.",0,0,1,1,0,0
";Planning for hurricanes, tropical storms and floods is one thing.",1,0,0,0,0,0
"Sprouts are tiny plants produced without soil a type of fresh greens that can be grown virtually anywhere, at any time of year.",1,0,0,0,0,0
"The report by Clarivate Analytics, formerly part of Thomson Reuters, announced its 2016 honors for the most innovative corporations and institutions in the world determined by analyzing proprietary data.",1,0,0,0,0,0
The last few days have been something else.,1,0,0,0,0,0
";London, UK and Willich/Berlin, Germany, April 11, 2011 Psion has won this years European AutoID Award in the category of Most Innovative Company.",1,0,0,0,0,1
We undertake no obligation to update such forward-looking statements.,0,1,1,1,1,1
"Printagraph new business, dubbed , permits customers to personalize plastic bricks that are delivered in kits for assembly into puzzles and photobricks.",1,0,0,0,0,0
"And, as CEO, I very quickly realised the situation was turning into something far more profound than I could have ever e.;Like most of you, I watched the footage on the television news and saw how Te were suffering.",0,0,0,0,0,1
; majority of consumers are already using their smart phones for shopping-related activities.,0,0,1,1,0,0
Shell CEO Ben van Beurden reflects on thecourage and determination shown by all those caught in the trail of Harvey\'s devastation.,1,0,0,0,0,0
"MEDINA, Ohio, April 3 /PRNewswire-FirstCall/ - RPM International Inc. (NYSE: RPM) today announced it will release its fiscal 2003 third-quarter results before the market opens on Monday, April 14, 2003.",1,0,0,0,0,0
"Since it tops delicious couscous, no drop is wasted.",0,0,1,1,1,1
"Designed to make all athletes better, the brand\'s innovative products are sold worldwide to athletes at all levels.",0,1,1,1,1,1
Please activate JavaScript in your browser to use all interface options.,1,0,0,0,0,0
The Phaser 6510 color printer starts at a suggested retail price of $319 and the WorkCentre 6515 color MFP starts at a suggested retail price of $439.,0,0,0,0,0,1
"""We thank the many state and local officials who have worked with us over the last year, ensuring this project came to life for the betterment of the Under Armour brand, the local ; community, and the athletes who rely on our product to perform at their best.",0,1,1,1,1,1
Today at AVTOVAZ we are all focused on e of new products and on making LADA customers proud again to drive LADA products.,0,1,0,0,0,1
";The system is also highly scalable, easy to build and maintain; distributed WiNG architecture cuts infrastructure requirements, and a central management tool and analytics platform makes network performance optimization easy to achieve.",0,1,0,0,1,1
"Dickerson will remain with Under Armour until February 2016 in order to ensure a smooth transition of leadership and responsibilities, and will continue to serve in his current roles while Under Armour conducts an e search for a new CFO.",1,1,1,1,1,1
"If you are lucky enough to live in one of these states, give these butters a try and let us know what you think.",0,1,0,0,0,1
"In the past five years, the Company has repurchased appro 43 million shares of common stock for appro ;.",1,0,0,0,0,0
";The Kintex UltraScale FPGAs deliver up to 1.16M logic cells, 5,520 optimized DSP slices, 76 Mbits of block RAM, 16.3Gbps backplane-capable transceivers, PCIe; Gen3 hard blocks, integrated 100Gb/s Ethernet MAC and 150 Gb/s Interlaken IP Cores, and DDR4 memory interfaces operating at 2,400 Mb/s.",0,0,0,0,1,1
The program was formerly known as the Thomson Reuters Top 100 Global Innovators.,1,1,1,1,1,1
"With the establishment of the Nashville Distribution House, ; will invest over ; and will create 1,500 new jobs in the area over the ne five years.",1,0,0,0,0,0
"This is technology that does something for you - it makes you better.""",0,1,0,0,0,1
""";Customers can place orders for the KU040 FPGAs today by contacting their local Xilinx sales representative.Kintex UltraScale development and evaluation boards are available from Xilinx and its Alliance Members.",0,1,1,1,0,0
"The Company\'s products are sold worldwide and worn by athletes at all levels, from youth to professional, on playing fields around the globe.",0,0,1,1,1,0
"A conference call to discuss earnings will begin at 10:00 a.m. (Eastern) on Friday, January 10.",1,0,0,0,0,0
Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.',0,1,1,1,1,1
 Moscows Gorky Park has recently deployed a wireless network solution from ; to enable thousands of visitors to the park to simultaneously access wireless connectivity for a first-class visitor e. The new ; infrastructure replaces a legacy network which was failing to meet the latest requirements across the parterre section of the Park and cope with bring-your-own-device (BYOD) demand.,1,1,1,1,1,1
"; is ; third distribution facility in ;, joining the company\'s original warehouse in the ; metropolitan area and another located in ;.",1,0,0,0,0,0
"Combined with high level abstraction tools including Vivado; High Level Synthesis and Xilinx's software defined development environment for OpenCL, the family provides a complete solution to minimize compute-bottlenecks when designing and implementing DSP-intensive algorithms.",0,1,1,1,1,1
", MD (November 16, 2006) Under Armour, Inc. (NASDAQ: UARM), a leading developer, marketer and distributor of branded performance apparel, footwear and accessories, today announced that it has filed an application to list its securities on the New York Stock E (NYSE).",1,0,0,0,0,0
"This press release was issued by Motorola Solutions Enterprise business prior to its acquisition by Zebra Technologies on Oct. 27, 2014.; With 45% of shoppers already using their mobile devices for mobile coupons, Motorola Solutions, Inc. (NYSE:MSI) is announcing a new unified indoor locationing platform to help organizations better meet the demand for customer engagement.",1,0,0,0,1,0
"These industry-leading devices are coupled with a ne-generation design environment and IP to serve a broad range of customer needs, from programmable logic to programmable systems integration.",0,0,1,1,0,0
"CONTACT: Glenn R. Hasman, vice president of finance and communications of International Inc., +1-330-273-8820, or ghasman@rpminc.com;RPM International Inc. (NYSE: RPM) owns subsidiaries that are world leaders in coatings, sealants, building materials and related services.",0,1,1,1,1,1
; After the signing AVTOVAZ President Bo Andersson stated: Racing is a critical part of the new AVTOVAZ.,0,0,1,1,1,0
";""We\'re e to open the Nashville Distribution House, which provides us with a great opportunity to grow our US-based team and better service our rapidly e customer base,"" said ;, EVP, Global Operations at ;.",0,1,1,1,1,1
";""With the launch of Under Armour Performance Footwear, we are redefining what performance means to athletes on the field from head to toe,"" commented Kevin Plank, chairman, chief e officer and president of Under Armour.",0,1,1,1,1,1
Their compound butter is designed to make you feel like a Julia Child in your own kitchen.,1,0,0,0,0,0
";""As a growth company, Under Armour can benefit greatly from Tony\'s insight and e,"" said Kevin Plank, Under Armour\'s CEO and Chairman.",0,1,1,1,1,1
"The e who comprise this annual list span the IT channel, representing vendors, distributors, solution providers and other organizations that figure prominently in the channel ecosystem.",1,1,1,1,1,1
