"X.AUTHID","sent_seq_id","binLabelScr","WhetherNeg","NegScr","target_entities","target_ent_size","spec_domain","binScrLevel0","binScrLevel1","binScrLevel2","whetherCentral","sent_rec_scr","sent.content"
"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",43,0.4,1,0.132,"['I']",1,"searsholdings",1,0,0,0,5,"When I came downstairs Christmas morning and walked into the living room, I was dismayed not to find one waiting for me."
"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",49,0.4,1,0.247,"['dad', 'dad']",2,"searsholdings",1,0,0,0,5,"My dad was a hard-working carpenter until the day he died at 71."
"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",59,0.4,1,0.328,"dad",1,"searsholdings",1,0,0,0,5,"He was in WWII, the Korean War and Vietnam."
"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",63,0.4,1,0.17,"picture",1,"searsholdings",1,0,0,0,5,"The picture to the left is my dad the Korean war and me on the right as a young Army Captain. '"
"b'http://blog.searsholdings.com/inside-shc/why-im-proud-to-be-a-part-of-sears-holdings/'",65,0.4,1,0.209,"ones",1,"searsholdings",1,0,0,0,5,"Your time is often filled with solving problems or preventing new ones before they happen."
"b'http://blog.searsholdings.com/inside-shc/why-im-proud-to-be-a-part-of-sears-holdings/'",70,0.4,0,0,"['our', 'associates']",2,"searsholdings",1,0,0,1,4,"This means we are engaged members of our company and demonstrate passion and pride by leading by e. We recently asked associates across the company to share why they are proud to be a part of the SHC team."
"b'http://blog.searsholdings.com/leadership-viewpoint/kmart-pharmacy-engaged-with-members-the-community/'",108,0.4,0,0,"['us']",1,"searsholdings",1,0,0,1,4,"Earlier this year, we launched the Kmart Pharmacy mobile app that enables our members to access to the ."
"b'http://blog.searsholdings.com/leadership-viewpoint/kmart-pharmacy-engaged-with-members-the-community/'",109,0.2,0,0,"['us', 'us', 'Shop Your Way members']",3,"searsholdings",1,0,0,2,4,"In May, we announced that we started working with Diplomat Specialty Pharmacy, an industry leader in patient care, to give our customers and Shop Your Way members access to , bringing specialized support for a variety of diseases and conditions, including: HIV, Crohn disease, rheumatoid arthritis and Hepatitis C, among others."
"b'http://blog.searsholdings.com/leadership-viewpoint/kmart-pharmacy-engaged-with-members-the-community/'",111,0.4,0,0,"us",1,"searsholdings",1,0,0,1,4,"Through this new agreement with Diplomat Specialty Pharmacy, we now offer a new level of service and convenience to meet the growing needs of the specialty medication population."
"b'http://blog.searsholdings.com/leadership-viewpoint/kmart-pharmacy-engaged-with-members-the-community/'",113,0.4,0,0,"['us', 'members']",2,"searsholdings",1,0,0,2,4,"We just launched the service where members are able to post a question and get a response within 24 hours from a licensed Kmart pharmacist in their state."
"b'http://blog.searsholdings.com/leadership-viewpoint/kmart-pharmacy-engaged-with-members-the-community/'",114,0.2,1,0.131,"(No subject)",0,"searsholdings",1,0,0,0,5,"This service goes beyond what many key competitors are doing with general Q&A without member-specific support."
"b'http://blog.searsholdings.com/leadership-viewpoint/kmart-pharmacy-engaged-with-members-the-community/'",125,0.4,1,0.167,"Kmart Pharmacy",1,"searsholdings",1,0,0,0,5,"Kmart Pharmacy is your one stop shop for all immunizations this year."
"b'http://blog.searsholdings.com/leadership-viewpoint/kmart-pharmacy-engaged-with-members-the-community/'",126,0.2,0,0,"['us', 'us']",2,"searsholdings",1,0,0,2,4,"As we continue to cascade our e for Rx for Success to all stores and all associates, the groundswell of support builds, and that what we want: an organization working together to achieve profitable growth."
"b'http://blog.searsholdings.com/leadership-viewpoint/the-role-of-technology-in-our-transformation/'",131,0.4,0,0,"['We', 'We']",2,"searsholdings",1,0,0,2,4,"We are proud of our legacy but we also recognize the need to adapt, innovate and transform ."
"b'http://blog.searsholdings.com/leadership-viewpoint/the-role-of-technology-in-our-transformation/'",137,0.2,0,0,"['We', 'We', 'We']",3,"searsholdings",1,0,0,3,4,"That why we have been so focused on Integrated Retail, which means leveraging our strengths our associates, physical stores, online and mobile capabilities, the Shop Your Way membership program, and a robust supply chain to provide our members with the ease of shopping online and the physical aspect of shopping in store."
"b'http://blog.searsholdings.com/leadership-viewpoint/the-role-of-technology-in-our-transformation/'",140,0.4,0,0,"['We']",1,"searsholdings",1,0,0,1,4,"We don think in terms of store investments versus online investments because in many ways one complements the other."
"b'http://blog.searsholdings.com/leadership-viewpoint/the-role-of-technology-in-our-transformation/'",141,0.4,0,0,"us",1,"searsholdings",1,0,0,1,4,"Rather, investing in online allows us to bring those digital capabilities into our stores, and investing in our stores makes inventory and fulfillment options available to our members online."
"b'http://blog.searsholdings.com/shc-updates/just-the-facts-our-apparel-business/'",151,0.4,0,0,"Chairman",1,"searsholdings",1,0,0,1,4,"Effectively managing and improving the operating performance of our apparel business is one of Sears Holdings top priorities in 2016, as our Chairman and CEO Eddie Lampert recently ."
