"sent_seq_id","gold_sent","X.AUTHID","row_id","count","binLabelScr","WhetherNeg","NegScr","target_entities","target_ent_size","spec_domain","binScrLevel0","binScrLevel1","binScrLevel2","whetherCentral","sent_rec_scr"
3904,"Global Premier Partner Network members represent the industry most innovative and forward-thinking digital printers, said , president of Global Graphic Communications Operations, Xerox Corporation.","b'https://www.news.xerox.com/news/Xerox-Awards-Best-of-the-Best-Award-to-Printagraph'",17,6,0.4,0,0,"Premier Partner Network members",1,"xerox",1,0,0,0,2
3948,"Our employees create meaningful innovations and provide , , and solutions make a real difference for our clients and their customers in 180 countries","b'https://www.news.xerox.com/news/Xerox-named-to-DJSI-World-and-North-America-Indexes'",19,6,0.8,0,0,"(No subject)",0,"xerox",0,0,1,0,0
3994,"Corporation is an $11 billion technology leader that innovates the way the world communicates, connects and works.","b'https://www.news.xerox.com/news/Xerox-recognized-as-a-2016-Top-100-Global-Innovator'",21,6,0.6,0,0,"(No subject)",0,"xerox",0,1,0,0,1
4055,"and Xilinx's software defined development environment for OpenCL, the family provides a complete solution to minimize compute-bottlenecks when designing and implementing DSP-intensive algorithms.","b'https://www.xilinx.com/news/press/2014/xilinx-expands-20-nm-kintex-ultrascale-portfolio-for-the-most-demanding-data-center-acceleration-video-and-signal-processing-applications.html'",24,6,0.2,0,0,"family",1,"xilinx",1,0,0,0,2
4074,"These industry-leading devices are coupled with a ne-generation design environment and IP to serve a broad range of customer needs, from programmable logic to programmable systems integration. For more information, visit ;.;#1470;#AAB851; Copyright 2014 Xilinx, Inc. Xilinx, the Xilinx logo","b'https://www.xilinx.com/news/press/2014/xilinx-first-to-move-20nm-fpgas-into-volume-production.html'",25,6,0.2,0,0,"(No subject)",0,"xilinx",1,0,0,0,2
4083,"As the 10; anniversary of EDN China award, this year\'s awards recognized each winning product\'s and company\'s industry impact and leadership,"""" said Yorbe Zhang, head of content at EDN China.","b'https://www.xilinx.com/news/press/2014/xilinx-wins-2014-edn-china-innovation-awards.html'",26,6,0.2,0,0,"(No subject)",0,"xilinx",1,0,0,0,2
4100,"Logo- ; ;""""Over the past 10 years, Xilinx has returned 100% of operating cash flow to stockholders through a combination of dividend and repurchase,"""" said ;, Xilinx President and Chief E Officer.","b'https://www.xilinx.com/news/press/2016/xilinx-board-of-directors-increases-repurchase-authorization-by-1-billion.html'",27,5,0,0,0,"['Xilinx', 'Xilinx President']",2,"xilinx",1,0,0,1,4
4144,"Motorola is collaborating with four technology vendors to help make MPact an end-to-end locationing solution providing benefits to retailers and customers who opt in.","b'https://www.zebra.com/gb/en/about-zebra/newsroom/press-releases/2014/Communicate-to-Shoppers-at-the-Right-Time-with-First-of-its-Kind-Location-Based-Platform-from-Motorola-Solutions.html'",29,6,0.6,0,0,"['Motorola', 'MPact', 'locationing solution']",3,"zebra",0,1,0,1,3
4159,"Visitors e seamless high-speed Wi-Fi roaming on a secure network that protects their devices and the entire network from hacking.","b'https://www.zebra.com/gb/en/about-zebra/newsroom/press-releases/2016/zebra-brings-modern-wifi-to-moscows-gorky-park.html'",30,6,0.4,0,0,"[]",0,"zebra",1,0,0,0,2
4225,"The system is also highly scalable, easy to build and maintain; distributed WiNG architecture cuts infrastructure requirements, and a central management tool and analytics platform makes network performance optimization easy to achieve.","b'https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2016/zebra-brings-modern-wifi-to-moscows-gorky-park.html'",33,6,0.4,0,0.058,"['system', 'WiNG architecture', 'analytics platform', 'network performance optimization']",4,"zebra",1,0,0,1,4
