X.AUTHID,sent_seq_id,gold_sent
b'http://www.uabiz.com/news/releasedetail.cfm?releaseid=936248',4492,"During his time at Under Armour, Brad has played an integral role in providing value for the company by building a strong team and demonstrating a core competency of accelerating growth, taking the company from pre-IPO to a multi-billion dollar global business."
b'http://www.uabiz.com/news/releasedetail.cfm?ReleaseID=945947',4511,We are e to be home to the company\'s newest operations and look forward to building upon our partnership.
b'http://www.wholefoodsmarket.com/blog/everybody-wins-citrus-showdown',4526,"Thank you, Mother Nature! This season we got a battle of epic flavor featuring two of our favorite citrus superstars Satsuma v Clementine and we need your help to pick the season champion."
b'http://www.wholefoodsmarket.com/blog/simple-summer-sprouts-giveaway',4574,"Whisk sesame oil and vinegar until combined and add to kale mi. Stir well and top with sprouts, fennel and sunflower seeds. Mung bean sprouts are the most popular sprout on the planet try these other great recipes featuring mung bean sprouts: , , & Three lucky winners will receive a sprouting lid and 3 varieties of organic, Non-GMO Project verified planting and sprouting seeds from High Mowing Organic Seeds."
b'http://www.wholefoodsmarket.com/blog/whole-story/frans-chocolates',4604,I found the secret to Fran success can be boiled down to the highest quality ingredients; unwavering attention to detail with a focus on taste; and hiring and nurturing a talented team.
b'http://www.wholefoodsmarket.com/blog/whole-story/local-producer-epicurean-butter',4629,"Their products combine grade AA butter with all natural flavors, producing a high quality, unique product that makes cooking a joy for the novice and advanced chef alike."
b'http://www.wholefoodsmarket.com/blog/whole-story/what-halal-about',4648,"Traditionally prepared by cooking Basmati rice with succulent chunks of chicken, cashews and raisins infused with an unmistakable blend of enticing spices, aromas and flavors, including a pinch of saffron salt."
b'https://www.news.xerox.com/news/Xerox-Awards-Best-of-the-Best-Award-to-Printagraph',3904,"Global Premier Partner Network members represent the industry most innovative and forward-thinking digital printers, said , president of Global Graphic Communications Operations, Xerox Corporation."
b'https://www.news.xerox.com/news/Xerox-named-to-DJSI-World-and-North-America-Indexes',3948,"Our employees create meaningful innovations and provide , , and solutions make a real difference for our clients and their customers in 180 countries"
b'http://www.rpminc.com/news-releases/news-release/?reqid=476683',4309,"MEDINA, Ohio, Dec. 23 /PRNewswire-FirstCall/ - RPM International Inc. (NYSE: RPM) today announced it will release its fiscal 2003 second-quarter and first-half results after the market closes on Thursday, January 9"
b'https://www.news.xerox.com/news/Xerox-recognized-as-a-2016-Top-100-Global-Innovator',3994,"Corporation is an $11 billion technology leader that innovates the way the world communicates, connects and works."
b'https://www.xilinx.com/news/press/2014/xilinx-expands-20-nm-kintex-ultrascale-portfolio-for-the-most-demanding-data-center-acceleration-video-and-signal-processing-applications.html',4055,"and Xilinx's software defined development environment for OpenCL, the family provides a complete solution to minimize compute-bottlenecks when designing and implementing DSP-intensive algorithms."
b'https://www.xilinx.com/news/press/2014/xilinx-first-to-move-20nm-fpgas-into-volume-production.html',4074,"These industry-leading devices are coupled with a ne-generation design environment and IP to serve a broad range of customer needs, from programmable logic to programmable systems integration. For more information, visit ;.;#1470;#AAB851; Copyright 2014 Xilinx, Inc. Xilinx, the Xilinx logo"
b'https://www.xilinx.com/news/press/2014/xilinx-wins-2014-edn-china-innovation-awards.html',4083,"As the 10; anniversary of EDN China award, this year\'s awards recognized each winning product\'s and company\'s industry impact and leadership,"""" said Yorbe Zhang, head of content at EDN China."
