X.AUTHID,anger_doc_sum,anticipation_doc_sum,arousal_doc_sum,disgust_doc_sum,dominance_doc_sum,fear_doc_sum,joy_doc_sum,neg_doc_sum,num_text_words,pos_doc_sum,sad_doc_sum,site.content,spec_domain,surp_doc_sum,trust_doc_sum,valence_doc_sum,bin_label_scr,rank_label_scr,cSIN_tag,cEXC_tag,cCOM_tag,cRUG_tag,cSOP_tag,cSIN_scl_scr,cEXC_scl_scr,cCOM_scl_scr,cRUG_scl_scr,cSOP_scl_scr,content_length,stopword_count,stopword_ratio,flesch_read_ease,cSIN_label_fin,cEXC_label_fin,cCOM_label_fin,cRUG_label_fin,cSOP_label_fin,cSIN_fin_rank,cEXC_fin_rank,cCOM_fin_rank,cRUG_fin_rank,cSOP_fin_rank
b'http://blog.searsholdings.com/leadership-viewpoint/pride-at-shc/',1,9,31.317,0,38.293,7,16,7,124,23,1,"b'SHC Speaks by As Chief HR Officer and co-e sponsor of Sears Holdings , I am honored to have volunteered at the 45 Annual Chicago Pride Parade . This year, SHC partnered with , and to marry four couples on our float during the parade. Over a million people cheered on our Shop Your Way Pride Wedding Contest winners as the parade traveled through the city neighborhoods. I was joined by dozens of SHC associates and family members who marched in the parade or cheered from the crowd. It was a moving day for all involved as this was the first parade since the Illinois Marriage Equality Law was enacted. As a company that represents a true cross section of America, Sears Holdings gives more to our members no matter who they are or who they love. Thank you to everyone who participated and supported our couples on their special day. In addition, I also proud to report that out of nearly 200 entries, small businesses, non-profit organizations and corporate sponsored floats, our Gift Registry float won the Business Float. This is a credit to the hard work and effort of our PRIDE Associate Resource Group and all its members and partners. '",searsholdings,7,11,43.95,0.2,-0.65,y,n,n,n,n,0.0031171013,-0.0235266668,-0.0212559491,-0.0630796625,-0.0122528559,1145,93,8.1222707424,57.5,n,y,y,n,y,5,1,2,3,4
b'https://atyourservice.blogs.xerox.com/category/support-tools/page/6/',0,4,23.26,0,32.665,0,1,2,126,8,1,"b' We want you to get social with us in this New Year. Xerox has many ways to interact with us for support, information and just plain That not the correct date and time. When you look at your Xerox device and see the incorrect date and time; that could be the reason Picture it You are having a perfectly calm and uneventful day and then it happens fault code on the Xerox printer! Your pulse quickens and Calling all Xerox Nuvera Production System users. Recently new support videos were posted to the Xerox Channel on YouTube. These videos address some of the questions Let look at the Xerox ConnectKey for SharePoint. The ConnectKey for SharePoint helps you share all those paper documents in a digital format that will allow Select list(s): Cheryl Otstott says: Cheryl Otstott says: Cheryl Otstott says: Facebook Twitter Google +1 LinkedIn Youtube Select list(s): 2017 Xerox Corporation. All rights reserved. Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.'",xerox,0,5,36.89,0.3,NA,n,y,n,n,n,-0.0440042248,0.0110611418,-0.0241192863,-0.05855624,-0.0003987901,1022,70,6.8493150685,69.01,y,n,y,n,y,NA,NA,NA,NA,NA
b'http://blogs.zebra.com/whitepaper-label',0,1,23.968,0,31.704,3,1,4,128,12,1,"b' ; March 17, 2015 at 8:03 AM ;Product identification labels are now viewed as a as a critical mechanism for maintaining compliance, ensuring brand consistency, improving operational efficiency, and supporting business growth. They are the final link between your company and key stakeholders including customers, consumers, care givers, patients, and regulators.;There are thousands of types of thermal labels, and not all are created equal. Each material features different attributes that enable it to be utilized in different environments. It is critical that the labels you utilize are not only readable and scannable when they leave your operation, but throughout the products safe and appropriate use and disposal. This will reduce your risk of non-compliance to government and industry mandates.;In this paper, Zebra provides guidance on how to select the optimal material to identify your product by reviewing thermal printing basics, identifying the key considerations you need to be mindful of and what to look for in a supplier.; Topics: ;, ;, ;, ;, ;, ;, ; '",zebra,1,7,32.369,0.2,-0.25,y,n,n,n,n,0.0055637082,-0.0655364683,-0.0500551976,-0.0632024591,-0.0110795354,1072,73,6.8097014925,22.28,n,n,y,y,y,4,3,5,1,2
b'https://connect.blogs.xerox.com/author/laurie-riedman/page/2/',1,2,21.312,0,30.349,1,2,1,128,10,1,"b'Writer and PR Consultant Email LinkedIn Twitter Laurie Riedman is a geek at heart and loves working with Xerox scientists around the globe. She writes news releases, blog posts and conducts media relations for high technology companies including Xerox from her home office nestled in the Finger Lakes of New York. By By Laurie Riedman, PR Consultant Throughout the year I work with some of the smartest minds at Xerox the scientists and researchers hard at work in By By Laurie Riedman, consultant, Xerox Public Relations Over the past few months there have been many conversations about Xerox and PARC, a Xerox Company, and Xerox role By by, Laurie Riedman, PR Consultant, Innovation Blogger Questions. I was thinking about them today. Remembering how when my children were young it was through those endless questions Select list(s): Facebook Twitter Google +1 LinkedIn Youtube Select list(s): 2017 Xerox Corporation. All rights reserved. Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.'",xerox,1,4,32.433,0.3,NA,n,y,n,n,n,-0.0269640961,0.0128782002,-0.0064067558,-0.0580536319,-0.004333232,1051,64,6.0894386299,55.68,y,n,y,n,y,NA,NA,NA,NA,NA
b'http://blog.searsholdings.com/2016/07/page/2/',0,9,24.819,0,30.351,2,6,5,129,15,0,"b""SHC Speaks by As the retail landscape continues to change, we are making changes of our own. For our Danbury Sears store, this meant that we would continue to serve the community, but with a smaller footprint. On Saturday, July 2, Sears celebrated the grand re-opening of our Danbury store which showcased a new smaller store layout assorted to better serve the needs of our members and improve our in-store shopping e by I recently had the privilege of sharing with associates that I proud to work for a company that isn't afraid to transform. With the pride that I have for Sears Holdings, focusing on my best comes naturally, whether that in building relationships with those who I work with, helping our members or e our company transformation to my family and friends by This week the Veterans of Foreign Wars (VFW) facility in Denver, Colorado, Lowry Post 501, received critical repairs and improvements thanks to the Sears Heroes at Home program and Rebuilding Together. More than 20 Sears associates volunteered with VFW leaders to renovate the facility, strengthening the VFW ability to serve veterans across the Denver metro area """,searsholdings,1,8,36.108,0.2,-0.5,y,n,n,n,n,0.0039945481,-0.0209595301,-0.0496700391,-0.0606273896,-0.009319059,1143,84,7.3490813648,41.16,n,y,y,n,y,5,1,2,3,4
b'http://blog.searsholdings.com/leena-munjal/from-a-loyal-member-what-sears-means-to-me/',0,4,26.968,0,34.865,1,6,2,129,18,1,"b'SHC Speaks by Earlier this week, NPR aired a looking at Sears efforts to transform. As I said in the NPR story, we are facing the same challenges as many of our competitors. Our transformation is focused on serving our members to give them a robust choice of products and services. Our company also provides convenience so members can shop on their terms in store, online, through our apps or via a hybrid of buy online, pickup in store. We are a brand that many of our customers trust and rely on for buying products for their families, or services for their homes, and we don take that trust for granted . After the story aired, I received a beautiful, heartfelt, kind letter from a loyal member that I like to showcase on this blog. Because who better to tell our story than our members and customers. Thank you, Christine, on behalf of 140,000 American women and men working hard everyday to serve our members and create memorable e. Thank you for caring, thank you for sharing your story, thank you for giving us an opportunity to be a small part of your life, and more importantly, thank you for your unwavering loyalty and support. '",searsholdings,2,9,44.207,0.2,-0.5,y,n,n,n,n,0.0008077271,-0.0156305301,-0.0457996165,-0.064268784,-0.008570557,1142,100,8.7565674256,65.35,n,y,y,n,y,5,1,2,3,4
b'https://atyourservice.blogs.xerox.com/category/uncategorized/',2,5,16.292,2,24.599,2,1,2,129,8,2,"b' My homage to Dorothy. As Dorothy from the Wizard of Oz said, , I a feeling we not in Kansas anymore. not Kansas, we are living Several new Xerox VersaLink printers and multifunction printers (MFP) have been introduced lately, specifically the VersaLink C7000-7020-25-30 and VersaLink B7025-35 and the VersaLink C500-C505-C600-C605. These new It that time again, time to Spring forward on the clocks. This Sunday March 12, 2017 is the day we lose an hour of sleep to The Xerox PrintSafe Software was recently upgraded. It is recommended that if you are using this software that you upgrade to the current version. If you Do you know the serial number of your Xerox Printer or Multifunction device? If you are calling in or e-mailing in for support or requesting service Select list(s): Cheryl Otstott says: Cheryl Otstott says: Cheryl Otstott says: Facebook Twitter Google +1 LinkedIn Youtube Select list(s): 2017 Xerox Corporation. All rights reserved. Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.'",xerox,3,4,27.293,0.3,NA,n,y,n,n,n,-0.0405831367,0.0037667498,-0.0103047147,-0.0538417992,-0.0046084542,1064,74,6.954887218,60.55,y,n,y,n,y,NA,NA,NA,NA,NA
b'https://channelpartner.blogs.xerox.com/author/julian-patel/page/5/',2,2,26.095,1,35.598,1,1,4,129,13,2,"b'General Manager Volume Supplies & Operations Developing Markets Email LinkedIn Twitter Julian is the General Manager for Volume Supplies & Operations for Xerox Developing Markets. Julian focus is to support all channel partners to profitably grow and ensure Xerox are delivering the tools and strategies to support them in a manner than fits their business model. By Customers are increasingly savvy, price-driven and informed. Essentially, brands have to work harder than ever to retain our business. As online research replaces face-to-face interaction, relationships with sales and marketing people are being sidestepped. By When the relationship between vendor and channel partner is broken, it can lead to disappointment and dissatisfaction on both sides and, more importantly, both have missed out on an opportunity. Select list(s): Franchise Nagpur says: Andy Hill says: Larry Levine says: Facebook Twitter LinkedIn Youtube Select list(s): 2017 Xerox Corporation. All rights reserved. Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.'",xerox,0,6,34.062,0.3,NA,n,y,n,n,n,-0.0493413381,0.0081994384,-0.006085473,-0.0609851421,-0.0081764953,1102,60,5.444646098,36.49,y,n,y,n,y,NA,NA,NA,NA,NA
b'https://digitalprinting.blogs.xerox.com/author/gtesta/',1,3,25.289,1,35.964,1,2,2,130,15,1,"b'Email By Mailing Industry, an e at the Smithsonian National Postal Museum, showcases the many contributions Xerox has made to postal services in the United States. By Automation has a growing role in your customers marketing programs. Plugging into those programs can build strong annuity revenue streams and strengthen not only your customer relationships, but your customers customer relationships. Continue reading to learn how. By Written by Gina Testa, Vice President Graphics Communications Business Corporation Coming from Western New York State, the warm, tropical air in Miami Beach this time of year By According to some of the world leading marketers, the role of print is changing not dying, but delivering new ways to innovate and achieve ROI in Select list(s): jjackson says: jjackson says: Riaz says: Facebook Twitter Google +1 LinkedIn Youtube Select list(s): 2017 Xerox Corporation. All rights reserved. Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.'",xerox,0,9,37.323,0.3,NA,n,y,n,n,n,-0.0479598519,0.0016918243,-0.0151968635,-0.0554338854,-0.0035398678,1031,55,5.3346265761,48.54,y,n,y,n,y,NA,NA,NA,NA,NA
b'https://atyourservice.blogs.xerox.com/page/2/',1,3,18.479,1,26.033,1,2,2,131,8,1,"b'Today I am sharing with you a blog article from the Xerox blog, Xerox Connect. The article is one in a series of Modern Workplace articles My homage to Dorothy. As Dorothy from the Wizard of Oz said, , I a feeling we not in Kansas anymore. not Kansas, we are living Several new Xerox VersaLink printers and multifunction printers (MFP) have been introduced lately, specifically the VersaLink C7000-7020-25-30 and VersaLink B7025-35 and the VersaLink C500-C505-C600-C605. These new There are many reward programs available these days from airlines to grocery stores. We have a great one for you. It is called the Genuine Xerox The paperless office is still a thing of the future since it is estimated that the average office worker uses 10,000 sheets of copy paper each Select list(s): Cheryl Otstott says: Cheryl Otstott says: Cheryl Otstott says: Facebook Twitter Google +1 LinkedIn Youtube Select list(s): 2017 Xerox Corporation. All rights reserved. Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.'",xerox,3,7,29.997,0.3,NA,n,y,n,n,n,-0.0407501587,0.0063711951,-0.0090903934,-0.0561452083,-0.0034111643,1063,68,6.3969896519,58.21,y,n,y,n,y,NA,NA,NA,NA,NA
