row_id,gold_sent,model_type
0,"August 24, 2011;CORAL GABLES, Fla., Aug. 24, 2011 /PRNewswire via COMTEX/ -;MasTec, Inc. (NYSE: MTZ) today announced that it has entered into an agreement with a syndicate of 14 lenders, led by Bank of America, N.A., GE Capital Markets, Inc. and Sun Trust Robinson Humphrey, Inc., for an amended and restated senior secured revolving credit facility.",incons
0,"August 24, 2011;CORAL GABLES, Fla., Aug. 24, 2011 /PRNewswire via COMTEX/ -;MasTec, Inc. (NYSE: MTZ) today announced that it has entered into an agreement with a syndicate of 14 lenders, led by Bank of America, N.A., GE Capital Markets, Inc. and Sun Trust Robinson Humphrey, Inc., for an amended and restated senior secured revolving credit facility.",incons_neg
1,"RPM International Inc., a holding company, owns subsidiaries that are world leaders in specialty coatings serving both industrial and consumer markets. RPM's industrial products include roofing systems, sealants, corrosion control coatings, flooring coatings and specialty chemicals.",lead
2,"MEDINA, Ohio, Dec. 23 /PRNewswire-FirstCall/ - RPM International Inc. (NYSE: RPM) today announced it will release its fiscal 2003 second-quarter and first-half results after the market closes on Thursday, January 9",hybrid
2,"MEDINA, Ohio, Dec. 23 /PRNewswire-FirstCall/ - RPM International Inc. (NYSE: RPM) today announced it will release its fiscal 2003 second-quarter and first-half results after the market closes on Thursday, January 9",incons
2,"MEDINA, Ohio, Dec. 23 /PRNewswire-FirstCall/ - RPM International Inc. (NYSE: RPM) today announced it will release its fiscal 2003 second-quarter and first-half results after the market closes on Thursday, January 9",neg
2,"MEDINA, Ohio, Dec. 23 /PRNewswire-FirstCall/ - RPM International Inc. (NYSE: RPM) today announced it will release its fiscal 2003 second-quarter and first-half results after the market closes on Thursday, January 9",ctr
2,"MEDINA, Ohio, Dec. 23 /PRNewswire-FirstCall/ - RPM International Inc. (NYSE: RPM) today announced it will release its fiscal 2003 second-quarter and first-half results after the market closes on Thursday, January 9",incons_neg
3,"The call, which last appro one hour, will be open to the public, but only analysts will be permitted to ask questions. The media and all participants will be in a listen-only mode.",lead
3,"The call, which last appro one hour, will be open to the public, but only analysts will be permitted to ask questions. The media and all participants will be in a listen-only mode.",hybrid
3,"The call, which last appro one hour, will be open to the public, but only analysts will be permitted to ask questions. The media and all participants will be in a listen-only mode.",incons
