X.AUTHID,sent_seq_id,sent_content
b'http://www.mastec.com/press-release/1799/1/MasTec-Announces-Significantly-Expanded-Bank-Credit-Facility.aspx',4273,"August 24, 2011;CORAL GABLES, Fla., Aug. 24, 2011 /PRNewswire via COMTEX/ -;MasTec, Inc. (NYSE: MTZ) today announced that it has entered into an agreement with a syndicate of 14 lenders, led by Bank of America, N.A., GE Capital Markets, Inc. and Sun Trust Robinson Humphrey, Inc., for an amended and restated senior secured revolving credit facility."
b'http://www.mastec.com/press-release/1799/1/MasTec-Announces-Significantly-Expanded-Bank-Credit-Facility.aspx',4276,"As of ;, MasTec had appro ; in outstanding loans and ; in letters of credit under the amended credit facility., MasTec\'s E Vice President and Chief Financial Officer, noted, """"We view the e and amended bank credit facility as a good reflection of the progress that MasTec has made in recent years."
b'http://www.mastec.com/press-release/1799/1/MasTec-Announces-Significantly-Expanded-Bank-Credit-Facility.aspx',4281,"MasTec\'s Chief E Officer, added, """"We are very pleased with our amended and e bank credit facility. While our previous credit facility did not e until May, 2013, we decided to e and e our credit facility now to take advantage of a very attractive banking market for companies like MasTec."
b'http://www.rpminc.com/news-releases/news-release/?reqid=476621',4299,"RPM International Inc., a holding company, owns subsidiaries that are world leaders in specialty coatings serving both industrial and consumer markets. RPM's industrial products include roofing systems, sealants, corrosion control coatings, flooring coatings and specialty chemicals."
b'http://www.rpminc.com/news-releases/news-release/?reqid=476621',4288,"MEDINA, Ohio, April 3 /PRNewswire-FirstCall/ - RPM International Inc. (NYSE: RPM) today announced it will release its fiscal 2003 third-quarter results before the market opens on Monday, April 14, 2003"
b'http://www.rpminc.com/news-releases/news-release/?reqid=476683',4309,"MEDINA, Ohio, Dec. 23 /PRNewswire-FirstCall/ - RPM International Inc. (NYSE: RPM) today announced it will release its fiscal 2003 second-quarter and first-half results after the market closes on Thursday, January 9"
b'http://www.rpminc.com/news-releases/news-release/?reqid=688001',4337,"The call, which last appro one hour, will be open to the public, but only analysts will be permitted to ask questions. The media and all participants will be in a listen-only mode."
b'http://www.rpminc.com/news-releases/news-release/?reqid=688001',4345,"RPM's consumer products are used by professionals and do-it- for home maintenance and improvement, automotive and boat repair maintenance, and by hobbyists."
b'http://www.rpminc.com/news-releases/news-release/?reqid=688001',4332,"MEDINA, Ohio, March 22 /PRNewswire-FirstCall/ - RPM International Inc.(NYSE: RPM) announced today that it will release its fiscal 2005 third-quarter before the stock market opens on Thursday, April 7, 2005. The results be issued via newswire and also will be available on the RPM web site at:/www.rpminc.com .; (Logo: http:/www.newscom.com/cgi-bin/prnh/20010126/RPMLOGO ); Management will host a conference call to discuss the results beginning at:00 a.m. Eastern time the same day."
b'http://www.shell.com/media/speeches-and-articles/articles-by-date/why-im-left-humbled-by-hurricane-harvey.html',4353,Shell CEO Ben van Beurden reflects on thecourage and determination shown by all those caught in the trail of Harvey\'s devastation.
b'http://www.shell.com/media/speeches-and-articles/articles-by-date/why-im-left-humbled-by-hurricane-harvey.html',4376,"The resilience that has been on show in Te has also been present 9,000 miles away in Mumbai, where floods have also hit and where Shell staff have also kept on going despite everything.;Shell planned for corporate resilience."
b'http://www.shell.com/media/speeches-and-articles/articles-by-date/why-im-left-humbled-by-hurricane-harvey.html',4363,Staff from;also loaned some portable six inch pumps from the facility to a nearby neighbourhood that was about to be flooded.
b'http://www.uabiz.com/news/releasedetail.cfm?ReleaseID=195603',4395,"Each of the series of products incorporates the following technology specifications to ensure optimal on-field performance during the game or practice:;The """"Click-Clack"""" campaign began nearly a year ago during Under Armours renowned PROTECT THIS HOUSE television advertising campaign where viewers got a first glimpse of what was to come from Under Armour with the sound of cleats on concrete leading onto a football field."
b'http://www.uabiz.com/news/releasedetail.cfm?ReleaseID=195603',4394,This is technology that does something for you - it makes you better.
b'http://www.uabiz.com/news/releasedetail.cfm?ReleaseID=195603',4388,"BALTIMORE, April 14, 2006 - After nearly a decade of providing technically advanced products engineered with its e fabric construction, supreme moisture management, and proven innovation, Under Armour (NASDAQ: UARM) today revealed its highly anticipated cleated footwear line."
