"X.AUTHID","sent_seq_id","binLabelScr","WhetherNeg","NegScr","target_entities","target_ent_size","spec_domain","binScrLevel0","binScrLevel1","binScrLevel2","whetherCentral","sent_rec_scr"
"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",59,0.4,1,0.328,"dad","1","searsholdings","1",0,0,0,5
"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",49,0.4,1,0.247,"['dad', 'dad']","2","searsholdings","1",0,0,0,5
"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",63,0.4,1,0.17,"picture","1","searsholdings","1",0,0,0,5
"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",43,0.4,1,0.132,"['I']","1","searsholdings","1",0,0,0,5
"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",39,0.4,0,0.034,"dad","1","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",47,0.4,0,0,"['I', 'My dad', 'I']","3","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",32,0.4,0,0,"dad","1","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",27,0.2,0,0,"(No subject)","0","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",30,0.4,0,0,"(No subject)","0","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",53,0.4,0,0,"(No subject)","0","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/'",56,0.4,0,0,"(No subject)","0","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/inside-shc/why-im-proud-to-be-a-part-of-sears-holdings/'",65,0.4,1,0.209,"ones","1","searsholdings","1",0,0,0,5
"b'http://blog.searsholdings.com/inside-shc/why-im-proud-to-be-a-part-of-sears-holdings/'",70,0.4,0,0,"['our', 'associates']","2","searsholdings","1",0,0,1,4
"b'http://blog.searsholdings.com/inside-shc/why-im-proud-to-be-a-part-of-sears-holdings/'",83,0.4,0,0,"['I', 'they']","2","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/inside-shc/why-im-proud-to-be-a-part-of-sears-holdings/'",89,0.4,0,0,"['I', 'I']","2","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/inside-shc/why-im-proud-to-be-a-part-of-sears-holdings/'",94,0.4,0,0,"['ShowPride', 'me']","2","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/inside-shc/why-im-proud-to-be-a-part-of-sears-holdings/'",74,0.2,0,0,"it","1","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/inside-shc/why-im-proud-to-be-a-part-of-sears-holdings/'",85,0.4,0,0,"I","1","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/inside-shc/why-im-proud-to-be-a-part-of-sears-holdings/'",98,0.2,0,0,"I","1","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/inside-shc/why-im-proud-to-be-a-part-of-sears-holdings/'",103,0.2,0,0,"(No subject)","0","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/inside-shc/why-im-proud-to-be-a-part-of-sears-holdings/'",96,0.4,0,0,"(No subject)","0","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/leadership-viewpoint/kmart-pharmacy-engaged-with-members-the-community/'",125,0.4,1,0.167,"Kmart Pharmacy","1","searsholdings","1",0,0,0,5
"b'http://blog.searsholdings.com/leadership-viewpoint/kmart-pharmacy-engaged-with-members-the-community/'",114,0.2,1,0.131,"(No subject)","0","searsholdings","1",0,0,0,5
"b'http://blog.searsholdings.com/leadership-viewpoint/kmart-pharmacy-engaged-with-members-the-community/'",109,0.2,0,0,"['us', 'us', 'Shop Your Way members']","3","searsholdings","1",0,0,2,4
"b'http://blog.searsholdings.com/leadership-viewpoint/kmart-pharmacy-engaged-with-members-the-community/'",113,0.4,0,0,"['us', 'members']","2","searsholdings","1",0,0,2,4
"b'http://blog.searsholdings.com/leadership-viewpoint/kmart-pharmacy-engaged-with-members-the-community/'",126,0.2,0,0,"['us', 'us']","2","searsholdings","1",0,0,2,4
"b'http://blog.searsholdings.com/leadership-viewpoint/kmart-pharmacy-engaged-with-members-the-community/'",108,0.4,0,0,"['us']","1","searsholdings","1",0,0,1,4
"b'http://blog.searsholdings.com/leadership-viewpoint/kmart-pharmacy-engaged-with-members-the-community/'",111,0.4,0,0,"us","1","searsholdings","1",0,0,1,4
"b'http://blog.searsholdings.com/leadership-viewpoint/kmart-pharmacy-engaged-with-members-the-community/'",115,0.6,0,0,"us","1","searsholdings","0",1,0,1,3
"b'http://blog.searsholdings.com/leadership-viewpoint/kmart-pharmacy-engaged-with-members-the-community/'",105,0.2,0,0,"they","1","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/leadership-viewpoint/kmart-pharmacy-engaged-with-members-the-community/'",106,0.2,0,0,"Kmart pharmacist","1","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/leadership-viewpoint/kmart-pharmacy-engaged-with-members-the-community/'",124,0.8,0,0.132,"us","1","searsholdings","0",0,1,1,0
"b'http://blog.searsholdings.com/leadership-viewpoint/the-role-of-technology-in-our-transformation/'",137,0.2,0,0,"['We', 'We', 'We']","3","searsholdings","1",0,0,3,4
"b'http://blog.searsholdings.com/leadership-viewpoint/the-role-of-technology-in-our-transformation/'",131,0.4,0,0,"['We', 'We']","2","searsholdings","1",0,0,2,4
"b'http://blog.searsholdings.com/leadership-viewpoint/the-role-of-technology-in-our-transformation/'",140,0.4,0,0,"['We']","1","searsholdings","1",0,0,1,4
"b'http://blog.searsholdings.com/leadership-viewpoint/the-role-of-technology-in-our-transformation/'",141,0.4,0,0,"us","1","searsholdings","1",0,0,1,4
"b'http://blog.searsholdings.com/leadership-viewpoint/the-role-of-technology-in-our-transformation/'",142,0.4,0,0,"investments","1","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/leadership-viewpoint/the-role-of-technology-in-our-transformation/'",143,0.6,0,0.066,"it","1","searsholdings","0",1,0,0,1
"b'http://blog.searsholdings.com/leadership-viewpoint/the-role-of-technology-in-our-transformation/'",132,0.6,0,0,"behavior","1","searsholdings","0",1,0,0,1
"b'http://blog.searsholdings.com/leadership-viewpoint/the-role-of-technology-in-our-transformation/'",145,0.6,0,0,"['I']","1","searsholdings","0",1,0,0,1
"b'http://blog.searsholdings.com/shc-updates/just-the-facts-our-apparel-business/'",165,0.2,1,0.138,"['statements', 'results']","2","searsholdings","1",0,0,0,5
"b'http://blog.searsholdings.com/shc-updates/just-the-facts-our-apparel-business/'",156,0.4,0,0,"['Our', 'It', 'Our']","3","searsholdings","1",0,0,2,4
"b'http://blog.searsholdings.com/shc-updates/just-the-facts-our-apparel-business/'",162,0.2,0,0,"['We', 'We', 'we']","3","searsholdings","1",0,0,3,4
"b'http://blog.searsholdings.com/shc-updates/just-the-facts-our-apparel-business/'",151,0.4,0,0,"Chairman","1","searsholdings","1",0,0,1,4
"b'http://blog.searsholdings.com/shc-updates/just-the-facts-our-apparel-business/'",150,0.4,0,0,"Nothing","1","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/shc-updates/just-the-facts-our-apparel-business/'",153,0.2,0,0,"(No subject)","0","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/shc-updates/just-the-facts-our-apparel-business/'",155,0.2,0,0,"(No subject)","0","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/shc-updates/just-the-facts-our-apparel-business/'",164,0.2,0,0,"(No subject)","0","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/voices-from-the-field/kmart-associate-receives-presidential-recognition-for-volunteerism/'",182,0.4,1,0.356,"['My']","1","searsholdings","1",0,0,0,5
"b'http://blog.searsholdings.com/voices-from-the-field/kmart-associate-receives-presidential-recognition-for-volunteerism/'",167,0.4,0,0,"we","1","searsholdings","1",0,0,1,4
"b'http://blog.searsholdings.com/voices-from-the-field/kmart-associate-receives-presidential-recognition-for-volunteerism/'",183,0.2,0,0.148,"I","1","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/voices-from-the-field/kmart-associate-receives-presidential-recognition-for-volunteerism/'",179,0.2,0,0.117,"units","1","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/voices-from-the-field/kmart-associate-receives-presidential-recognition-for-volunteerism/'",175,0.4,0,0,"I","1","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/voices-from-the-field/kmart-associate-receives-presidential-recognition-for-volunteerism/'",189,0.2,0,0,"I","1","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/voices-from-the-field/kmart-associate-receives-presidential-recognition-for-volunteerism/'",191,0.4,0,0,"I","1","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/voices-from-the-field/kmart-associate-receives-presidential-recognition-for-volunteerism/'",168,0.2,0,0,"(No subject)","0","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/voices-from-the-field/kmart-associate-receives-presidential-recognition-for-volunteerism/'",177,0.2,0,0,"(No subject)","0","searsholdings","1",0,0,0,2
"b'http://blog.searsholdings.com/voices-from-the-field/kmart-associate-receives-presidential-recognition-for-volunteerism/'",188,0.6,0,0,"I","1","searsholdings","0",1,0,0,1
"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",1,0.8,1,0.298,"(No subject)","0","autodesk","0",0,1,0,5
"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",10,0.6,0,0,"(No subject)","0","autodesk","0",1,0,0,1
"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",8,0.8,0,0.067,"['I', 'I']","2","autodesk","0",0,1,0,0
"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",9,0.8,0,0.058,"['you', 'hardware']","2","autodesk","0",0,1,0,0
"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",21,0.8,0,0.045,"years Lynn","1","autodesk","0",0,1,0,0
"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",18,0.8,0,0,"site","1","autodesk","0",0,1,0,0
"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",20,0.8,0,0,"Allen","1","autodesk","0",0,1,0,0
"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",22,0.8,0,0,"Lynn","1","autodesk","0",0,1,0,0
"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",23,0.8,0,0,"Lynn","1","autodesk","0",0,1,0,0
"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",12,0.8,0,0,"(No subject)","0","autodesk","0",0,1,0,0
"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",24,0.8,0,0,"(No subject)","0","autodesk","0",0,1,0,0
"b'http://blogs.zebra.com/all-hail-the-consumer-why-convenience-is-key'",214,0.4,1,0.155,"['difficulties', 'you']","2","zebra","1",0,0,0,5
"b'http://blogs.zebra.com/all-hail-the-consumer-why-convenience-is-key'",199,0.4,1,0.139,"(No subject)","0","zebra","1",0,0,0,5
"b'http://blogs.zebra.com/all-hail-the-consumer-why-convenience-is-key'",205,0.4,1,0.133,"(No subject)","0","zebra","1",0,0,0,5
"b'http://blogs.zebra.com/all-hail-the-consumer-why-convenience-is-key'",202,0.2,0,0,"consumers","1","zebra","1",0,0,1,4
"b'http://blogs.zebra.com/all-hail-the-consumer-why-convenience-is-key'",213,0.2,0,0,"['product', 'consumer']","2","zebra","1",0,0,0,2
"b'http://blogs.zebra.com/all-hail-the-consumer-why-convenience-is-key'",204,0.4,0,0,"['needs']","1","zebra","1",0,0,0,2
